entry,module,gene,assessment,role,evidence,context,limitation,evidence_location,review_note,citations,identifiers,source_urls
59,AMPK,Atg8a,Supported,Autophagy protein and reporter,Neuronal AMPK upregulation increases intestinal Atg8a transcript abundance.,Adult female D. melanogaster; tissue-specific AMPK induction.,Supports a downstream response in that context. It is neither an AMPK subunit nor proof of direct phosphorylation.,"Intestinal autophagy-gene expression panel, 10-day-old flies.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ulgherait M et al. (2014),DOI: 10.1016/j.celrep.2014.08.006,https://pubmed.ncbi.nlm.nih.gov/25199830/
60,AMPK,ACC,Supported,Acetyl-CoA carboxylase; Acc,Fly ACC phosphorylation at the conserved regulatory site increases during AMPK-activating energy stress.,D. melanogaster cultured cells; phosphospecific assays.,Protein phosphorylation supports the pathway relationship. ACC mRNA does not measure that phosphorylation state.,Energy-stress and DmACC phosphospecific assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Pan DA et al. (2002),DOI: 10.1042/bj20020703,https://pubmed.ncbi.nlm.nih.gov/12093363/
61,AMPK,SNF4Agamma,Supported,AMPK gamma subunit,Fly gamma-subunit disruption affects AMPK activity and developmental/stress-induced autophagy.,D. melanogaster cells and larval fat body.,"A structural/regulatory AMPK-complex component, not a downstream transcript target.",Subunit RNAi and SNF4Agamma mutant/autophagy experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Pan DA et al. (2002); Lippai M et al. (2008),DOI: 10.1042/bj20020703; DOI: 10.4161/auto.5719,"https://pubmed.ncbi.nlm.nih.gov/12093363/
https://pubmed.ncbi.nlm.nih.gov/18285699/"
62,AMPK,alc,Supported,Alc/AMPK beta subunit,RNAi against the fly beta subunit abolishes measured AMPK activity.,D. melanogaster cultured cells.,Core-complex membership is well supported. Transcript abundance does not establish kinase activation.,RNAi of individual AMPK subunits.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Pan DA et al. (2002),DOI: 10.1042/bj20020703,https://pubmed.ncbi.nlm.nih.gov/12093363/
63,AMPK,FASN2,Not verified,Fatty-acid synthase isoform 2,Isoform-specific fly work places FASN2 in specialized fatty-acid/hydrocarbon metabolism.,D. melanogaster; oenocyte and lipid-metabolism experiments.,A specific canonical AMPK relationship was not verified. Evidence for FASN1 or mammalian FASN cannot be transferred automatically to this isoform.,Isoform-specific FASN perturbations in hydrocarbon/pheromone synthesis.,Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Wicker-Thomas C et al. (2015),DOI: 10.1194/jlr.m060368,https://pubmed.ncbi.nlm.nih.gov/26353752/
64,AMPK,S6k,Context-dependent,S6 kinase; TORC1 output,Fly AMPK–TSC2/TOR experiments use S6K phosphorylation as a downstream signaling readout.,D. melanogaster cells and growth assays.,An indirect AMPK-associated effector through TOR. S6k RNA is not equivalent to phospho-S6K.,AMPK-site manipulation in gigas and S6K phosphorylation assays.,Describe as associated with the process. Do not call a validated direct transcriptional target.,Kim M et al. (2015),DOI: 10.3390/ijms16047015,https://pubmed.ncbi.nlm.nih.gov/25826530/
65,Chromatin,mor,Supported,Moira; Brahma-complex subunit,MOR is molecularly characterized and physically associated with the fly Brahma complex.,D. melanogaster embryos; biochemical and genetic evidence.,Supports chromatin regulation. It is one of several different chromatin mechanisms represented.,MOR characterization and Brahma association.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Crosby MA et al. (1999),DOI: 10.1128/mcb.19.2.1159,https://pubmed.ncbi.nlm.nih.gov/9891050/
66,Chromatin,nej,Supported,Nejire/CBP; transcriptional coactivator,nej is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ciabrelli F et al. (2023),DOI: 10.1126/sciadv.adf2687,https://pubmed.ncbi.nlm.nih.gov/37083536/
67,Chromatin,Su(var)3-9,Supported,Histone H3K9 methyltransferase,Fly mutants lose heterochromatic H3K9 methylation and affect silencing.,D. melanogaster; chromatin and mutant assays.,Chromatin-silencing function is established. RNA abundance is not methyltransferase activity.,H3K9 methylation and heterochromatin experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Schotta G et al. (2002),DOI: 10.1093/emboj/21.5.1121,https://pubmed.ncbi.nlm.nih.gov/11867540/
68,Chromatin,esc,Supported,Noncatalytic PRC2 subunit,esc contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ketel CS et al. (2005),DOI: 10.1128/mcb.25.16.6857-6868.2005,https://pubmed.ncbi.nlm.nih.gov/16055700/
69,Chromatin,Caf1-105,Supported,CAF-1 chromatin-assembly p105 subunit,The p105 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Tyler JK et al. (2001),DOI: 10.1128/mcb.21.19.6574-6584.2001,https://pubmed.ncbi.nlm.nih.gov/11533245/
70,Chromatin,Gcn5,Supported,Histone acetyltransferase/coactivator,Gcn5 is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ciabrelli F et al. (2023),DOI: 10.1126/sciadv.adf2687,https://pubmed.ncbi.nlm.nih.gov/37083536/
71,Chromatin,Acf,Supported,ACF chromatin-remodeling component,ACF/CHRAC perturbations establish nucleosome-remodeling and transcriptional-repression functions.,D. melanogaster cells and embryos.,Acf contributes to remodeling complexes. It is not the ATPase subunit ISWI.,ACF/CHRAC loss and chromatin/transcription assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Scacchetti A et al. (2018),DOI: 10.26508/lsa.201800024,https://pubmed.ncbi.nlm.nih.gov/30456345/
72,Chromatin,Snr1,Supported,SNF5-related Brahma-complex subunit,Fly Snr1 genetics and biochemistry support its role in Brahma chromatin remodeling.,D. melanogaster developmental tissues.,"Supports a chromatin-regulation category, not a single shared pathway with every other listed gene.",snr1 mutant and Brahma-complex characterization.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Marenda DR et al. (2003),DOI: 10.1128/mcb.23.1.289-305.2003,https://pubmed.ncbi.nlm.nih.gov/12482982/
73,Chromatin,Caf1-180,Supported,CAF-1 chromatin-assembly p180 subunit,The p180 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Tyler JK et al. (2001),DOI: 10.1128/mcb.21.19.6574-6584.2001,https://pubmed.ncbi.nlm.nih.gov/11533245/
74,Chromatin,Pc,Supported,Polycomb; methylated-histone reader,The fly Pc chromodomain recognizes H3K27 methylation in biochemical and chromatin assays.,D. melanogaster cells/chromosomes and purified domains.,Pc reads a repressive mark. It is not the enzyme that deposits H3K27 methylation.,"Methylated-peptide binding, structure and localization.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Fischle W et al. (2003),DOI: 10.1101/gad.1110503,https://pubmed.ncbi.nlm.nih.gov/12897054/
75,Chromatin,HDAC1,Supported,Rpd3; histone deacetylase,Fly RPD3 associates with a Polycomb-group complex and contributes to silencing.,D. melanogaster embryos and chromosomes.,HDAC1/Rpd3 has multiple chromatin contexts. The paper does not assign it exclusively to PRC2.,"Coimmunoprecipitation, chromosomal localization and genetic interactions.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Tie F et al. (2003),DOI: 10.1128/mcb.23.9.3352-3362.2003,https://pubmed.ncbi.nlm.nih.gov/12697833/
76,Chromatin,Su(z)12,Supported,Noncatalytic PRC2 subunit,Su(z)12 contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Ketel CS et al. (2005),DOI: 10.1128/mcb.25.16.6857-6868.2005,https://pubmed.ncbi.nlm.nih.gov/16055700/
77,Chromatin,HP1c,Supported,Euchromatic HP1-family protein,HP1c interacts with Woc and is studied in transcription/chromatin regulation.,D. melanogaster; affinity purification and gene regulation.,Do not transfer all properties of heterochromatic HP1a to HP1c.,HP1c–Woc interaction and regulatory experiments.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Abel J et al. (2009),DOI: 10.1371/journal.pone.0005089,https://pubmed.ncbi.nlm.nih.gov/19352434/
78,Chromatin,Chrac-14,Supported,CHRAC histone-fold subunit,Purification identifies CHRAC-14 as a subunit of active CHRAC; binding assays show interaction with CHRAC-16 and ISWI.,D. melanogaster embryo extracts and recombinant proteins.,Complex-specific subunit. Its presence does not make all 15 genes one chromatin complex.,"Corona et al., Results: purification, protein interactions and association with active CHRAC.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Corona DF et al. (2000),DOI: 10.1093/emboj/19.12.3049,https://pubmed.ncbi.nlm.nih.gov/10856248/
79,Chromatin,His2Av,Supported,Histone H2Av variant,Phosphorylated H2Av associates with fly chromatin insulators and domain boundaries.,D. melanogaster polytene chromosomes and diploid cells.,The study examines protein modification/localization. His2Av RNA does not report gamma-H2Av abundance or DNA-break levels.,Chromatin localization and insulator-association results.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Simmons JR et al. (2022),DOI: 10.1371/journal.pgen.1010396,https://pubmed.ncbi.nlm.nih.gov/36197938/
80,Checkpoint,mei-41,Supported,ATR-related checkpoint kinase,mei-41 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Brodsky MH et al. (2000),DOI: 10.1101/gad.14.6.666,https://pubmed.ncbi.nlm.nih.gov/10733527/
81,Checkpoint,Blm,Broader label,Bloom-family helicase; DNA-break repair,Blm is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,"Use DNA repair and checkpoint control, or DNA damage response, to retain this biology accurately.",Min B et al. (2004),DOI: 10.1073/pnas.0403000101,https://pubmed.ncbi.nlm.nih.gov/15184650/
82,Checkpoint,mus304,Supported,DNA-damage checkpoint protein,mus304 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Brodsky MH et al. (2000),DOI: 10.1101/gad.14.6.666,https://pubmed.ncbi.nlm.nih.gov/10733527/
83,Checkpoint,RecQ4,Supported,Replication and genome-maintenance helicase,"Fly studies establish a replication role, and an RNAi screen identifies RECQL4 among checkpoint-associated replication factors.",D. melanogaster developmental tissues and cultured-cell checkpoint screen.,Replication and checkpoint roles overlap. A screen hit alone does not establish a unique checkpoint mechanism.,"Xu et al., replication phenotypes; Kondo and Perrimon, pre-IC/checkpoint results.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Xu Y et al. (2009); Kondo S et al. (2011),DOI: 10.1371/journal.pone.0006107; DOI: 10.1126/scisignal.2001350,"https://pubmed.ncbi.nlm.nih.gov/19572017/
https://pubmed.ncbi.nlm.nih.gov/21205937/"
84,Checkpoint,grp,Supported,Grapes; Chk1-related checkpoint kinase,grp is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Brodsky MH et al. (2000),DOI: 10.1101/gad.14.6.666,https://pubmed.ncbi.nlm.nih.gov/10733527/
85,Checkpoint,tefu,Supported,ATM checkpoint kinase,tefu is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Bi X et al. (2005),DOI: 10.1534/genetics.105.047720,https://pubmed.ncbi.nlm.nih.gov/16020777/
86,Checkpoint,mre11,Supported,Mre11 DNA-break response factor,mre11 is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Bi X et al. (2005),DOI: 10.1534/genetics.105.047720,https://pubmed.ncbi.nlm.nih.gov/16020777/
87,Checkpoint,14-3-3epsilon,Supported,14-3-3 checkpoint-associated protein,14-3-3epsilon is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Brodsky MH et al. (2000),DOI: 10.1101/gad.14.6.666,https://pubmed.ncbi.nlm.nih.gov/10733527/
88,Checkpoint,mus101,Supported,TopBP1-related replication/checkpoint factor,Fly mus101 alleles separate replication and DNA-damage checkpoint functions.,D. melanogaster RNAi screen and mutant analysis.,A dual-function factor. Preserve the distinction between replication and checkpoint-associated domains.,"mus101 allele/domain analysis, Fig. 2C.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Kondo S et al. (2011),DOI: 10.1126/scisignal.2001350,https://pubmed.ncbi.nlm.nih.gov/21205937/
89,Checkpoint,Ku80,Broader label,Ku DNA-end-binding repair subunit,Ku80 is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,"Use DNA repair and checkpoint control, or DNA damage response, to retain this biology accurately.",Min B et al. (2004),DOI: 10.1073/pnas.0403000101,https://pubmed.ncbi.nlm.nih.gov/15184650/
