original_module,gene,display_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls
AMPK,FASN2,AMPK-associated genes,false,Not verified,Specific canonical AMPK relationship not verified.,Fatty-acid synthase isoform 2,Isoform-specific fly work places FASN2 in specialized fatty-acid/hydrocarbon metabolism.,D. melanogaster; oenocyte and lipid-metabolism experiments.,A specific canonical AMPK relationship was not verified. Evidence for FASN1 or mammalian FASN cannot be transferred automatically to this isoform.,Isoform-specific FASN perturbations in hydrocarbon/pheromone synthesis.,Wicker-Thomas C et al. (2015),https://pubmed.ncbi.nlm.nih.gov/26353752/
AMPK,S6k,AMPK-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,S6 kinase; TORC1 output,Fly AMPK–TSC2/TOR experiments use S6K phosphorylation as a downstream signaling readout.,D. melanogaster cells and growth assays.,An indirect AMPK-associated effector through TOR. S6k RNA is not equivalent to phospho-S6K.,AMPK-site manipulation in gigas and S6K phosphorylation assays.,Kim M et al. (2015),https://pubmed.ncbi.nlm.nih.gov/25826530/
Chromatin,mor,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Moira; Brahma-complex subunit,MOR is molecularly characterized and physically associated with the fly Brahma complex.,D. melanogaster embryos; biochemical and genetic evidence.,Supports chromatin regulation. It is one of several different chromatin mechanisms represented.,MOR characterization and Brahma association.,Crosby MA et al. (1999),https://pubmed.ncbi.nlm.nih.gov/9891050/
Chromatin,nej,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Nejire/CBP; transcriptional coactivator,nej is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Ciabrelli F et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37083536/
Chromatin,Su(var)3-9,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Histone H3K9 methyltransferase,Fly mutants lose heterochromatic H3K9 methylation and affect silencing.,D. melanogaster; chromatin and mutant assays.,Chromatin-silencing function is established. RNA abundance is not methyltransferase activity.,H3K9 methylation and heterochromatin experiments.,Schotta G et al. (2002),https://pubmed.ncbi.nlm.nih.gov/11867540/
Chromatin,esc,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Noncatalytic PRC2 subunit,esc contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Ketel CS et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16055700/
Chromatin,Caf1-105,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,CAF-1 chromatin-assembly p105 subunit,The p105 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Tyler JK et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11533245/
Chromatin,Gcn5,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Histone acetyltransferase/coactivator,Gcn5 is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Ciabrelli F et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37083536/
Chromatin,Acf,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,ACF chromatin-remodeling component,ACF/CHRAC perturbations establish nucleosome-remodeling and transcriptional-repression functions.,D. melanogaster cells and embryos.,Acf contributes to remodeling complexes. It is not the ATPase subunit ISWI.,ACF/CHRAC loss and chromatin/transcription assays.,Scacchetti A et al. (2018),https://pubmed.ncbi.nlm.nih.gov/30456345/
Chromatin,Snr1,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,SNF5-related Brahma-complex subunit,Fly Snr1 genetics and biochemistry support its role in Brahma chromatin remodeling.,D. melanogaster developmental tissues.,"Supports a chromatin-regulation category, not a single shared pathway with every other listed gene.",snr1 mutant and Brahma-complex characterization.,Marenda DR et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12482982/
Chromatin,Caf1-180,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,CAF-1 chromatin-assembly p180 subunit,The p180 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Tyler JK et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11533245/
Chromatin,Pc,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Polycomb; methylated-histone reader,The fly Pc chromodomain recognizes H3K27 methylation in biochemical and chromatin assays.,D. melanogaster cells/chromosomes and purified domains.,Pc reads a repressive mark. It is not the enzyme that deposits H3K27 methylation.,"Methylated-peptide binding, structure and localization.",Fischle W et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12897054/
Chromatin,HDAC1,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Rpd3; histone deacetylase,Fly RPD3 associates with a Polycomb-group complex and contributes to silencing.,D. melanogaster embryos and chromosomes.,HDAC1/Rpd3 has multiple chromatin contexts. The paper does not assign it exclusively to PRC2.,"Coimmunoprecipitation, chromosomal localization and genetic interactions.",Tie F et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12697833/
Chromatin,Su(z)12,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Noncatalytic PRC2 subunit,Su(z)12 contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Ketel CS et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16055700/
Chromatin,HP1c,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Euchromatic HP1-family protein,HP1c interacts with Woc and is studied in transcription/chromatin regulation.,D. melanogaster; affinity purification and gene regulation.,Do not transfer all properties of heterochromatic HP1a to HP1c.,HP1c–Woc interaction and regulatory experiments.,Abel J et al. (2009),https://pubmed.ncbi.nlm.nih.gov/19352434/
Chromatin,Chrac-14,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,CHRAC histone-fold subunit,Purification identifies CHRAC-14 as a subunit of active CHRAC; binding assays show interaction with CHRAC-16 and ISWI.,D. melanogaster embryo extracts and recombinant proteins.,Complex-specific subunit. Its presence does not make all 15 genes one chromatin complex.,"Corona et al., Results: purification, protein interactions and association with active CHRAC.",Corona DF et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10856248/
Chromatin,His2Av,Chromatin regulation,true,Supported,Retained with individual experimental publication support.,Histone H2Av variant,Phosphorylated H2Av associates with fly chromatin insulators and domain boundaries.,D. melanogaster polytene chromosomes and diploid cells.,The study examines protein modification/localization. His2Av RNA does not report gamma-H2Av abundance or DNA-break levels.,Chromatin localization and insulator-association results.,Simmons JR et al. (2022),https://pubmed.ncbi.nlm.nih.gov/36197938/
Checkpoint,mei-41,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,ATR-related checkpoint kinase,mei-41 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/
Checkpoint,Blm,DNA repair/checkpoints,true,Broader label,Retained under the broader functional heading supported by the experiment.,Bloom-family helicase; DNA-break repair,Blm is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,Min B et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15184650/
Checkpoint,mus304,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,DNA-damage checkpoint protein,mus304 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/
Checkpoint,RecQ4,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,Replication and genome-maintenance helicase,"Fly studies establish a replication role, and an RNAi screen identifies RECQL4 among checkpoint-associated replication factors.",D. melanogaster developmental tissues and cultured-cell checkpoint screen.,Replication and checkpoint roles overlap. A screen hit alone does not establish a unique checkpoint mechanism.,"Xu et al., replication phenotypes; Kondo and Perrimon, pre-IC/checkpoint results.",Xu Y et al. (2009); Kondo S et al. (2011),"https://pubmed.ncbi.nlm.nih.gov/19572017/
https://pubmed.ncbi.nlm.nih.gov/21205937/"
Checkpoint,grp,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,Grapes; Chk1-related checkpoint kinase,grp is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/
Checkpoint,tefu,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,ATM checkpoint kinase,tefu is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Bi X et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16020777/
Checkpoint,mre11,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,Mre11 DNA-break response factor,mre11 is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Bi X et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16020777/
Checkpoint,14-3-3epsilon,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,14-3-3 checkpoint-associated protein,14-3-3epsilon is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/
Checkpoint,mus101,DNA repair/checkpoints,true,Supported,Retained with individual experimental publication support.,TopBP1-related replication/checkpoint factor,Fly mus101 alleles separate replication and DNA-damage checkpoint functions.,D. melanogaster RNAi screen and mutant analysis.,A dual-function factor. Preserve the distinction between replication and checkpoint-associated domains.,"mus101 allele/domain analysis, Fig. 2C.",Kondo S et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21205937/
Checkpoint,Ku80,DNA repair/checkpoints,true,Broader label,Retained under the broader functional heading supported by the experiment.,Ku DNA-end-binding repair subunit,Ku80 is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,Min B et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15184650/
